execution_id,run_id,request_id,trial_number,iteration,sequence_number,scenario_id,target_prompt_tokens,actual_prompt_tokens,prompt_token_error,prompt_eval_duration_ms,prompt_tokens_per_second,client_ttft_ms,client_e2e_ms,output_tokens,done_reason,engine_load_duration_ms,gpu_sample_count,gpu_memory_used_max_mib,gpu_utilization_mean_pct,gpu_utilization_max_pct,gpu_temperature_mean_c,gpu_temperature_max_c,gpu_sm_clock_mean_mhz,gpu_power_mean_w
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,22e3cea7-0d72-4023-9c3d-a87b4b77330c,1,6,52,prompt-01024,1024,1024,0,188.573,5430.257778154879,215.119098,226.090785,2,stop,2.886522,3,6628.0,100.0,100.0,66.66666666666667,68.0,1790.0,282.9633333333333
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,293e1967-3cff-47bb-b63b-ab6122016fc7,1,6,53,prompt-08192,8192,8192,0,1630.059,5025.584963489052,1788.414373,1800.889791,2,stop,3.418093,18,6628.0,44.44444444444444,100.0,66.66666666666667,68.0,1723.3333333333333,255.35555555555553
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,4f7367ea-1563-4f33-94de-cdaa49a62000,1,6,54,prompt-00256,256,256,0,51.425,4978.123480797278,59.569598,70.170575,2,stop,2.389182,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,fd6312f4-68af-4309-b3b0-fbe8ee109945,1,6,55,prompt-02048,2048,2048,0,372.615,5496.289736054641,412.839096,424.431193,2,stop,3.585712,5,6628.0,40.0,100.0,66.2,68.0,1689.0,273.256
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,44109172-0f14-4233-ab1f-2f4f7c314505,1,7,56,prompt-00128,128,128,0,28.7,4459.93031358885,37.290454,47.51412,2,stop,2.797642,0,,,,,,,
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,63c2b7ed-2dce-4431-8f6c-59d3c52f5e32,1,7,57,prompt-04096,4096,4096,0,763.36,5365.751414797736,803.962148,815.800885,2,stop,3.747552,8,6628.0,37.5,100.0,66.5,69.0,1676.25,239.5
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,706091d2-0c35-4e1a-a5a7-c194660ef4ab,1,7,58,prompt-00512,512,512,0,97.103,5272.751614265265,108.23686,118.743236,2,stop,2.103032,2,6628.0,100.0,100.0,68.5,69.0,1755.0,252.29000000000002
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,a121e701-4889-469d-b658-0e2c4e9399b4,1,7,59,prompt-16384,16384,16384,0,3671.574,4462.391334070891,3865.757382,3882.097672,2,stop,3.976083,38,6628.0,73.6842105263158,100.0,68.71052631578948,70.0,1614.8684210526317,278.1355263157895
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,8ca127af-d093-4d03-b213-ad071b99b2f7,1,7,60,prompt-01024,1024,1024,0,189.89,5392.5957133077045,221.574423,232.47508,2,stop,2.726632,3,6628.0,100.0,100.0,70.0,70.0,1560.0,299.34
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,8954bc7a-a6ec-40a4-9c6b-d69eff22584e,1,7,61,prompt-08192,8192,8192,0,1634.567,5011.7248176428375,1773.671543,1786.287862,2,stop,4.472313,18,6628.0,70.5,99.0,70.0,70.0,1654.1666666666667,260.71388888888885
20260826T175114Z-2f660709,20260826T175114Z-exp-005-natural-corpus-prefill-scaling-fixed-run-ef77a8ab,2167769a-1b25-48e8-912b-a878b088cb65,1,7,62,prompt-00256,256,256,0,53.271,4805.616564359595,64.069461,74.565858,2,stop,2.568072,0,,,,,,,
